Rank,Previous,School,Conference,Record,Road,Neutral,Home,Quad 1,Quad 2,Quad 3,Quad 4
21,21,Michigan St.,Big Ten,21-9,5-5,3-2,13-2,4-8,4-1,3-0,10-0
22,22,Vanderbilt,SEC,22-10,7-4,2-2,13-4,3-9,5-1,1-0,13-0
23,23,Michigan,Big Ten,22-10,6-4,4-3,12-3,5-9,6-0,1-1,10-0
24,24,Iowa,Big Ten,22-10,6-4,6-2,10-4,6-7,3-3,3-0,10-0
25,25,Florida St.,ACC,23-8,7-4,3-1,13-3,3-6,4-2,6-0,10-0
26,26,Utah,Big 12,22-8,7-4,1-2,14-2,3-5,4-1,7-2,8-0
27,27,Oklahoma St.,Big 12,25-6,6-3,2-2,17-1,5-3,3-0,5-2,12-1
28,28,Maryland,Big Ten,23-7,10-1,2-2,11-4,8-5,2-2,4-0,9-0
29,29,Georgia Tech,ACC,22-10,5-5,3-1,14-4,1-7,7-3,3-0,11-0
30,30,Creighton,Big East,26-6,11-3,4-2,11-1,0-6,5-0,12-0,9-0
31,31,Mississippi St.,SEC,21-11,6-6,5-1,10-4,3-9,2-2,4-0,12-0
32,32,Illinois,Big Ten,21-9,6-4,1-2,14-3,4-7,2-2,5-0,10-0
33,33,Richmond,Atlantic 10,27-6,11-1,4-3,12-2,1-3,4-1,5-0,17-2
34,34,Harvard,Ivy League,24-4,12-2,2-0,10-2,2-0,3-3,3-1,16-0
35,35,Indiana,Big Ten,19-12,5-5,3-2,11-5,4-8,4-3,2-1,9-0
36,36,Louisville,ACC,21-10,10-3,2-3,9-4,2-9,7-1,6-0,6-0
37,37,Iowa St.,Big 12,22-11,5-6,2-3,15-2,1-9,2-1,7-1,12-0
38,38,California,ACC,25-8,7-5,2-2,16-1,3-6,5-2,8-0,9-0
39,39,Minnesota,Big Ten,20-11,3-6,4-1,13-4,0-8,2-3,3-0,15-0
40,40,Nebraska,Big Ten,21-11,5-6,3-1,13-4,4-10,2-1,3-0,12-0
41,41,Oregon,Big Ten,19-11,4-5,0-3,15-3,4-9,2-2,4-0,9-0
42,42,Columbia,Ivy League,23-6,10-2,3-3,10-1,1-4,3-2,1-0,18-0
43,43,Washington,Big Ten,19-13,5-5,2-2,12-6,3-9,2-3,2-0,12-1
44,44,South Dakota St.,Summit League,27-3,11-1,4-1,12-1,0-3,3-0,3-0,21-0
45,45,George Mason,Atlantic 10,26-5,10-3,3-1,13-1,0-2,1-1,5-2,20-0
46,46,Virginia Tech,ACC,18-12,6-4,1-3,11-5,1-8,4-2,3-2,10-0
47,47,Princeton,Ivy League,21-7,10-5,0-1,11-1,1-3,3-1,4-3,13-0
48,48,UNLV,Mountain West,25-7,8-5,1-1,16-1,0-2,0-2,4-3,21-0
49,49,Stanford,ACC,16-14,2-9,0-2,14-3,1-9,2-4,5-1,8-0
50,50,Florida,SEC,16-17,4-6,2-4,10-7,1-13,4-2,1-1,10-1
51,53,Murray St.,MVC,25-7,10-5,3-0,12-2,0-2,2-2,4-1,19-2
52,51,Fairfield,MAAC,27-4,12-3,3-0,12-1,0-1,0-2,3-1,24-0
53,52,Middle Tenn.,CUSA,26-8,10-5,3-3,13-0,0-2,0-4,2-2,24-0
54,54,Montana St.,Big Sky,28-3,10-2,6-0,12-1,0-1,1-0,1-1,26-1
55,55,James Madison,Sun Belt,28-5,12-2,2-2,14-1,0-3,2-0,3-1,23-1
56,56,Saint Joseph's,Atlantic 10,22-9,8-5,3-1,11-3,2-2,1-2,2-2,17-3
57,58,Colorado,Big 12,20-12,3-9,3-1,14-2,2-8,2-2,4-1,12-1
58,59,Arizona,Big 12,19-13,7-5,0-3,12-5,1-6,1-5,4-2,13-0
59,60,FGCU,ASUN,28-3,9-2,2-0,17-1,0-1,0-1,1-1,27-0
60,57,Belmont,MVC,22-12,9-6,3-3,10-3,0-6,3-3,5-2,14-1
61,61,Grand Canyon,WAC,30-2,9-2,4-0,17-0,0-1,1-1,1-0,28-0
62,62,Clemson,ACC,14-17,2-7,3-3,9-7,0-9,4-4,3-2,7-2
63,63,Marquette,Big East,19-10,6-7,1-1,12-2,0-4,1-1,5-3,13-2
64,64,Auburn,SEC,11-18,2-10,2-2,7-6,0-12,2-2,2-3,7-1
65,65,Ball St.,MAC,26-7,10-3,4-2,12-2,0-2,0-3,4-1,22-1
66,66,Missouri,SEC,14-18,3-7,1-2,10-9,0-11,1-2,1-4,12-1
67,67,South Fla.,The American,23-10,6-4,3-3,14-3,1-5,0-1,4-1,18-3
68,69,Drake,MVC,22-11,10-4,2-3,10-4,0-3,2-3,2-4,18-1
69,68,Missouri St.,MVC,25-8,9-5,2-3,14-0,0-1,2-3,4-2,19-2
70,70,Villanova,Big East,18-14,7-6,2-3,9-5,0-6,4-5,5-1,9-2
71,71,UTSA,The American,26-4,11-3,2-1,13-0,0-0,0-2,2-1,24-1
72,72,Green Bay,Horizon,27-5,11-2,4-1,12-2,0-1,0-1,5-2,22-1
73,73,Virginia,ACC,17-15,6-4,2-3,9-8,1-5,3-5,3-4,10-1
74,74,Boston College,ACC,16-17,3-9,1-3,12-5,0-9,2-3,4-2,10-3
75,75,St. John's (NY),Big East,16-15,6-8,1-1,9-6,0-4,1-5,2-4,13-2
76,76,Seton Hall,Big East,22-9,8-2,1-3,13-4,0-6,3-2,4-1,15-0
77,77,Texas Tech,Big 12,17-17,2-9,4-2,11-6,1-8,0-4,5-2,11-3
78,78,Norfolk St.,MEAC,28-4,12-2,5-2,11-0,0-2,2-0,1-1,25-1
79,79,Liberty,CUSA,24-6,8-4,5-1,11-1,0-2,2-2,1-0,21-2
80,80,Wyoming,Mountain West,20-11,7-7,4-2,9-2,0-1,1-2,4-6,15-2
81,81,Kansas,Big 12,16-14,3-6,3-2,10-6,1-8,1-3,4-3,10-0
82,82,SFA,Southland,27-5,10-4,6-0,11-1,0-0,0-1,4-1,23-3
83,83,Syracuse,ACC,12-18,3-8,1-2,8-8,0-9,2-3,3-4,7-2
84,84,Davidson,Atlantic 10,18-13,7-7,1-3,10-3,0-3,1-5,2-3,15-2
85,85,Portland,WCC,28-4,11-1,3-1,14-2,0-0,1-0,2-1,25-3
86,86,Miami (FL),ACC,14-15,2-8,2-0,10-7,0-9,1-4,1-2,12-0
87,87,BYU,Big 12,13-17,4-8,1-2,8-7,0-7,1-3,3-4,9-3
88,88,Purdue Fort Wayne,Horizon,23-8,11-4,1-3,11-1,0-1,0-1,2-1,21-5
89,89,Penn St.,Big Ten,10-19,1-10,2-0,7-9,1-8,0-4,0-4,9-3
90,90,Colorado St.,Mountain West,20-10,8-2,2-3,10-5,0-0,1-2,1-3,18-5
91,91,Cincinnati,Big 12,15-14,5-6,1-2,9-6,0-7,1-5,4-1,10-1
92,92,Vermont,America East,21-11,7-7,1-2,13-2,0-1,0-1,2-2,19-7
93,93,UNI,MVC,16-16,6-7,2-3,8-6,0-2,3-7,0-6,13-1
