TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName
337,9,8,5,5,1,2,15,15,249,118,113,169,43,49,405,336,Virginia
149,6,7,7,6,2,1,15,14,157,87,123,150,36,22,316,259,Louisiana
13,6,4,8,8,1,4,15,16,166,112,96,198,27,26,289,336,Ark_Pine_Bluff
302,5,8,8,7,2,1,15,16,150,97,99,170,21,18,270,285,TN_Martin
18,7,7,6,8,2,0,15,15,162,109,106,189,23,28,291,326,Austin_Peay
145,6,6,9,7,0,0,15,13,169,100,119,183,24,24,312,307,Lipscomb
154,8,7,6,8,1,1,15,16,193,135,127,199,38,42,358,376,Loyola-Chicago
357,9,4,5,8,1,2,15,14,176,94,114,138,36,31,326,263,Wyoming
116,8,4,5,8,2,4,15,16,139,122,99,185,22,33,260,340,Howard
122,7,4,8,6,0,1,15,11,102,90,61,142,21,19,184,251,Incarnate_Word
30,6,5,9,6,0,0,15,11,143,98,108,147,18,16,269,261,Brown
77,8,4,6,11,1,3,15,18,145,143,97,208,19,27,261,378,E_Illinois
260,8,3,5,10,2,2,15,15,126,116,75,192,14,31,215,339,SC_Upstate
351,6,7,8,6,1,1,15,14,182,108,147,156,34,32,363,296,William_&_Mary
286,8,5,7,7,0,2,15,14,151,130,111,201,19,29,281,360,Stetson
198,8,6,5,7,2,3,15,16,164,140,92,195,24,29,280,364,Nevada
340,9,4,5,7,0,1,14,12,88,113,63,163,14,26,165,302,W_Illinois
48,8,7,4,7,2,3,14,17,258,89,106,154,55,42,419,285,Cincinnati
147,7,8,5,9,2,1,14,18,153,95,101,146,30,17,284,258,Long_Beach_St
185,7,6,6,10,1,1,14,17,144,94,105,165,13,20,262,279,Mt_St_Mary's
26,11,6,2,10,1,3,14,19,252,143,126,188,41,48,419,379,Boston_College
349,6,7,7,8,1,1,14,16,127,109,92,176,18,25,237,310,WI_Milwaukee
268,10,7,4,6,0,3,14,16,198,116,125,180,40,45,363,341,SMU
281,7,7,5,8,2,3,14,18,233,126,148,185,46,35,427,346,St_Louis
5,9,4,4,10,1,2,14,16,136,116,97,219,17,29,250,364,Alabama_A&M
114,11,6,3,9,0,1,14,16,234,102,112,167,52,39,398,308,Houston
275,7,3,7,11,0,1,14,15,170,88,100,181,34,33,304,302,Southern_Univ
242,7,5,5,10,2,3,14,18,153,101,108,169,25,32,286,302,Radford
297,6,6,6,7,2,2,14,15,138,94,94,159,23,24,255,277,Tennessee_Tech
314,9,4,4,9,1,2,14,15,121,106,94,155,16,21,231,282,UC_Santa_Barbara
120,10,5,3,7,1,3,14,15,218,110,105,158,42,42,365,310,Illinois
190,7,6,5,9,2,1,14,16,154,119,103,201,26,20,283,340,N_Illinois
222,10,5,4,7,0,4,14,16,250,103,108,161,49,39,407,303,Oklahoma_St
354,8,5,4,9,2,3,14,17,193,99,111,166,30,35,334,300,WKU
32,8,7,5,11,0,0,13,18,161,112,112,159,14,14,287,285,Bucknell
82,7,5,4,10,2,1,13,16,116,98,85,131,14,20,215,249,East_Texas_A&M
117,2,11,10,4,1,1,13,16,122,115,88,175,19,23,229,313,Idaho
257,7,6,6,8,0,2,13,16,152,112,106,149,26,24,284,285,San_Francisco
194,5,3,7,11,1,1,13,15,120,92,81,179,25,26,226,297,NC_Central
241,7,6,5,10,1,2,13,18,156,81,120,153,22,19,298,253,Quinnipiac
2,8,6,5,8,0,3,13,17,172,116,95,168,22,31,289,315,Air_Force
165,8,4,5,10,0,1,13,15,144,99,108,160,29,31,281,290,MD_E_Shore
239,9,6,3,9,1,3,13,18,224,112,110,162,54,37,388,311,Purdue
86,8,6,5,11,0,0,13,17,146,119,105,180,18,11,269,310,F_Dickinson
188,7,5,6,9,0,1,13,15,116,104,98,143,27,27,241,274,N_Colorado
284,6,6,7,7,0,3,13,16,149,105,100,157,22,29,271,291,St_Thomas_MN
95,8,7,3,10,2,1,13,18,144,137,100,177,21,29,265,343,Fresno_St
228,7,4,6,8,0,1,13,13,136,92,119,126,16,15,271,233,Penn
166,8,5,4,9,1,3,13,17,215,108,127,146,45,45,387,299,Memphis
31,8,5,5,9,0,1,13,15,139,113,94,166,7,16,240,295,Bryant
103,7,6,6,8,0,1,13,15,133,126,109,174,29,29,271,329,Georgia_St
238,8,8,4,9,1,3,13,20,203,114,134,150,29,36,366,300,Providence
355,9,2,3,10,1,1,13,13,116,96,73,133,21,26,210,255,Wofford
34,7,8,5,7,1,1,13,16,167,108,96,148,30,35,293,291,Butler
353,8,7,4,7,1,2,13,16,232,100,110,147,46,43,388,290,Wisconsin
98,6,7,5,10,2,1,13,18,146,131,107,214,27,27,280,372,Ga_Southern
360,8,7,5,9,0,2,13,18,132,109,93,169,26,21,251,299,Youngstown_St
137,10,7,1,9,1,4,12,20,284,112,142,159,60,41,486,312,Kentucky
205,8,7,4,11,0,0,12,18,142,132,101,194,11,17,254,343,NJIT
58,5,7,6,10,1,1,12,18,151,104,103,177,25,34,279,315,Coppin_St
23,6,5,4,10,2,1,12,16,121,120,90,215,21,25,232,360,Bethune-Cookman
24,6,7,6,8,0,2,12,17,131,113,89,175,9,16,229,304,Binghamton
300,4,9,6,8,2,1,12,18,161,132,111,194,24,28,296,354,Texas_St
15,9,7,3,9,0,1,12,17,153,119,131,167,36,31,320,317,Arkansas_St
102,8,7,1,9,3,2,12,18,271,111,144,152,54,43,469,306,Georgia
306,8,8,2,9,2,3,12,20,212,117,124,174,36,44,372,335,Tulane
201,6,6,3,10,3,2,12,18,145,105,96,165,24,33,265,303,New_Mexico_St
96,8,4,3,10,1,2,12,16,128,109,79,190,24,33,231,332,Furman
71,9,8,2,9,1,3,12,20,197,116,124,160,42,38,363,314,DePaul
182,6,6,6,8,0,1,12,15,138,84,88,151,21,21,247,256,Morehead_St
150,7,5,4,11,1,3,12,19,190,93,118,141,40,32,348,266,Louisiana_Tech
168,7,8,5,11,0,0,12,19,144,119,98,205,5,12,247,336,Merrimack
192,9,6,3,11,0,0,12,17,128,107,98,147,6,14,232,268,Navy
97,9,5,3,9,0,4,12,18,192,140,130,198,33,37,355,375,G_Washington
12,6,8,5,9,1,1,12,18,184,93,101,165,29,27,314,285,Ark_Little_Rock
282,8,7,4,10,0,1,12,18,159,115,121,154,31,29,311,298,St_Mary's_CA
49,9,7,2,9,1,3,12,19,262,113,135,169,46,48,443,330,Clemson
176,8,7,2,9,1,3,11,19,258,117,139,156,58,41,455,314,Missouri
11,7,9,1,9,3,2,11,20,238,94,135,134,50,32,423,260,Arizona_St
1,8,4,3,10,0,2,11,16,119,92,83,130,20,16,222,238,Abilene_Chr
202,6,6,5,12,0,1,11,19,120,109,83,158,25,26,228,293,New_Orleans
251,6,10,3,8,2,2,11,20,163,112,106,176,25,33,294,321,S_Illinois
254,8,4,3,10,0,2,11,16,158,75,91,157,24,27,273,259,Samford
352,5,6,5,8,1,2,11,16,109,111,61,182,15,28,185,321,Winthrop
204,5,5,4,12,2,1,11,18,115,100,94,145,15,24,224,269,Nicholls_St
341,6,7,4,9,1,2,11,18,152,109,107,183,30,22,289,314,W_Michigan
68,4,9,6,7,1,4,11,20,187,127,160,176,30,32,377,335,Delaware
124,3,9,6,9,2,2,11,20,144,116,91,183,21,30,256,329,Indiana_St
219,9,6,2,12,0,1,11,19,144,125,110,184,32,21,286,330,Ohio
3,5,8,5,9,1,1,11,18,157,125,96,196,26,24,279,345,Akron
125,5,8,6,10,0,1,11,19,140,97,105,161,18,28,263,286,Iona
225,8,8,2,12,1,1,11,21,223,106,153,138,50,38,426,282,Oregon
315,7,8,1,8,3,1,11,17,227,82,106,147,44,39,377,268,UCF
51,4,7,5,12,2,2,11,21,199,118,135,195,36,31,370,344,Coastal_Car
7,6,5,3,14,2,1,11,20,136,94,100,182,29,26,265,302,Alcorn_St
62,4,9,5,10,1,2,10,21,147,109,114,158,26,20,287,287,CS_Fullerton
313,5,9,5,9,0,1,10,19,152,90,108,149,30,21,290,260,UC_San_Diego
292,4,8,5,11,1,1,10,20,126,105,90,152,14,17,230,274,Tarleton_St
350,6,10,2,10,2,2,10,22,214,120,127,181,40,49,381,350,Wichita_St
89,5,8,5,9,0,2,10,19,194,122,99,174,41,47,334,343,FL_Atlantic
112,5,10,3,10,2,1,10,21,151,131,136,172,23,31,310,334,Hofstra
67,5,7,2,11,3,1,10,19,195,129,120,201,30,30,345,360,Dayton
246,7,7,2,13,1,1,10,21,141,107,122,148,10,19,273,274,Rider
16,5,9,5,8,0,0,10,17,136,102,79,150,6,15,221,267,Army
207,6,6,4,12,0,0,10,18,159,112,106,186,20,29,285,327,North_Alabama
218,6,8,4,9,0,0,10,17,125,78,82,133,23,20,230,231,Oakland
44,7,6,3,12,0,1,10,19,143,102,86,177,26,43,255,322,Charleston_So
131,7,4,3,12,0,1,10,17,131,93,82,154,24,34,237,281,Jacksonville_St
94,8,6,2,10,0,1,10,17,198,112,143,164,30,31,371,307,Fordham
83,1,10,9,8,0,2,10,20,181,122,134,175,36,38,351,335,Elon
139,3,9,7,11,0,0,10,20,146,124,95,177,8,12,249,313,Lafayette
177,7,7,2,10,1,3,10,20,136,125,83,182,19,41,238,348,Missouri_KC
118,7,5,2,12,1,2,10,19,130,116,99,148,28,26,257,290,Idaho_St
8,5,10,5,10,0,0,10,20,150,109,113,163,14,20,277,292,American_Univ
330,8,5,1,9,1,5,10,19,156,88,99,143,26,30,281,261,UTEP
212,5,8,4,8,1,1,10,17,160,131,109,182,22,30,291,343,Northeastern
191,5,7,5,11,0,2,10,20,138,85,111,130,31,26,280,241,N_Kentucky
319,5,7,3,11,1,2,9,20,113,100,69,186,16,30,198,316,UNC_Asheville
215,6,9,3,9,0,3,9,21,232,117,119,156,50,44,401,317,Northwestern
329,7,6,2,13,0,0,9,19,100,123,88,158,17,23,205,304,Utah_Valley
135,5,7,3,11,1,1,9,19,173,109,130,170,29,22,332,301,Kennesaw
91,7,5,2,15,0,1,9,21,139,118,99,212,30,28,268,358,Florida_A&M
43,6,6,3,15,0,0,9,21,152,120,103,191,12,18,267,329,Central_Conn
152,4,8,4,10,1,1,9,19,132,100,101,130,26,26,259,256,Loy_Marymount
170,6,7,3,13,0,0,9,20,156,117,113,175,36,27,305,319,Miami_OH
296,6,5,1,12,2,2,9,19,109,107,92,155,13,19,214,281,Tennessee_St
216,5,6,4,12,0,1,9,19,137,68,99,143,27,23,263,234,Northwestern_LA
130,7,5,2,15,0,0,9,20,176,98,123,177,26,23,325,298,Jacksonville
21,4,7,4,12,0,0,8,19,153,103,106,194,19,19,278,316,Bellarmine
138,3,11,5,10,0,1,8,22,205,133,134,190,34,37,373,360,La_Salle
318,4,8,4,11,0,0,8,19,135,102,92,157,11,14,238,273,UMBC
146,5,9,3,13,0,0,8,22,119,129,75,213,4,23,198,365,LIU_Brooklyn
359,5,8,3,11,0,0,8,19,149,105,114,152,14,30,277,287,Yale
235,4,7,4,10,0,1,8,18,116,97,77,174,23,22,216,293,Prairie_View
199,6,8,1,12,1,0,8,20,151,108,113,164,8,15,272,287,New_Hampshire
255,5,11,2,10,1,1,8,22,154,103,117,142,36,24,307,269,San_Diego
232,5,11,2,9,1,4,8,24,258,128,143,187,42,43,443,358,Pittsburgh
248,7,11,1,10,0,3,8,24,252,115,128,174,47,42,427,331,Rutgers
343,3,13,2,10,2,2,7,25,271,101,149,157,52,45,472,303,Wake_Forest
209,4,9,3,9,0,2,7,20,146,75,105,136,25,29,276,240,North_Dakota
276,4,10,3,11,0,1,7,22,140,88,102,135,24,26,266,249,Southern_Utah
346,3,8,3,15,1,2,7,25,148,124,102,170,30,29,280,323,Weber_St
59,3,8,4,11,0,0,7,19,147,93,113,138,15,21,275,252,Cornell
148,4,6,3,14,0,1,7,21,133,99,108,148,23,33,264,280,Longwood
262,4,7,3,13,0,0,7,20,118,119,83,172,21,29,222,320,SE_Missouri_St
283,4,8,3,14,0,1,7,23,126,109,83,183,14,28,223,320,St_Peter's
61,4,8,3,12,0,1,7,21,121,114,77,163,22,20,220,297,CS_Bakersfield
269,2,12,5,9,0,2,7,23,170,125,123,206,35,32,328,363,South_Alabama
128,5,9,2,13,0,1,7,23,154,94,103,155,25,27,282,276,IUPUI
70,4,10,3,11,0,1,7,22,127,111,109,157,18,33,254,301,Denver
79,4,8,2,14,0,0,6,22,140,119,97,189,29,23,266,331,E_Michigan
342,4,7,2,12,0,2,6,21,124,131,74,195,3,14,201,340,Wagner
258,3,9,3,13,0,2,6,24,162,115,108,170,21,28,291,313,San_Jose_St
69,4,7,2,12,0,1,6,20,130,95,99,142,33,27,262,264,Delaware_St
234,4,9,2,13,0,1,6,23,115,122,93,164,30,27,238,313,Portland_St
159,4,9,2,13,0,3,6,25,140,106,116,169,14,21,270,296,Marist
64,4,12,1,12,1,1,6,25,133,111,112,164,32,25,277,300,CS_Sacramento
