TeamID,HomeWins,HomeLosses,AwayWins,AwayLosses,NeutralWins,NeutralLosses,TotalWins,TotalLosses,OpponentHomeWins,OpponentHomeLosses,OpponentAwayWins,OpponentAwayLosses,OpponentNeutralWins,OpponentNeutralLosses,OpponentTotalWins,OpponentTotalLosses,TeamName,Ranking,Quadrant
328,2,9,3,12,1,2,6,23,169,82,94,163,36,19,299,264,UTRGV,260.0,4
8,6,5,4,16,0,1,10,22,141,118,92,212,14,22,247,352,American,261.0,4
41,8,5,1,15,1,1,10,21,161,89,117,144,29,29,307,262,Canisius,262.0,4
203,7,1,7,7,3,3,17,11,105,74,66,131,36,33,207,238,Nicholls,263.0,4
87,5,9,8,8,1,1,14,18,153,92,87,185,25,26,265,303,Fairfield,264.0,4
241,9,5,3,9,2,2,14,16,202,107,98,155,42,36,342,298,Rhode Island,265.0,4
84,6,6,4,10,3,1,13,17,162,80,120,142,42,30,324,252,ETSU,266.0,4
184,7,5,6,11,0,0,13,16,149,87,102,187,19,18,270,292,Mount St. Mary's,267.0,4
198,8,4,5,9,0,0,13,13,113,87,80,141,14,16,207,244,New Hampshire,268.0,4
153,11,2,8,3,5,2,24,7,169,90,93,137,26,41,288,268,Loyola Chicago,269.0,4
294,5,7,3,12,1,2,9,21,138,80,100,162,29,32,267,274,Tennessee Tech,270.0,4
140,5,9,4,11,0,0,9,20,147,88,91,177,19,19,257,284,Lafayette,271.0,4
217,8,3,7,8,3,1,18,12,169,95,98,163,29,27,296,285,Oakland,272.0,4
208,2,11,1,13,1,1,4,25,137,107,88,184,19,23,244,314,North Dakota,273.0,4
142,8,7,4,12,0,0,12,19,133,113,101,190,16,15,250,318,Lehigh,274.0,4
156,2,9,1,14,0,0,3,23,122,92,86,153,15,15,223,260,Maine,275.0,4
272,7,2,8,11,0,1,15,14,145,95,102,222,37,33,284,350,Southern U.,276.0,4
310,7,4,4,11,0,1,11,16,129,92,74,161,21,28,224,281,UC San Diego,277.0,4
234,5,4,3,13,0,2,8,19,161,81,106,195,36,28,303,304,Prairie View,278.0,4
66,4,5,4,11,0,0,8,16,131,81,74,135,20,25,225,241,Dartmouth,279.0,4
293,6,5,5,11,1,2,12,18,104,101,86,190,21,25,211,316,Tennessee St.,280.0,4
122,9,6,1,11,1,3,11,20,159,92,101,148,29,44,289,284,Illinois St.,281.0,4
158,7,6,7,9,0,1,14,16,126,92,105,167,27,20,258,279,Marist,282.0,4
15,8,3,6,7,1,1,15,11,126,77,90,163,30,25,246,265,Arkansas St.,283.0,4
28,7,7,3,10,1,1,11,18,131,110,98,174,31,29,260,313,Bowling Green,284.0,4
120,5,6,8,8,0,2,13,16,135,103,89,161,21,29,245,293,UIC,285.0,4
169,6,8,5,9,0,1,11,18,124,107,87,165,24,30,235,302,Miami (OH),286.0,4
71,5,6,4,13,1,1,10,20,123,102,91,172,28,25,242,299,Denver,287.0,4
322,5,9,1,11,1,1,7,21,161,105,81,177,39,40,281,322,UTSA,288.0,4
329,6,8,3,8,3,2,12,18,148,93,85,143,25,44,258,280,Valparaiso,289.0,4
112,7,6,3,10,1,2,11,18,163,89,106,177,34,37,303,303,High Point,290.0,4
103,5,4,6,6,4,0,15,10,119,84,64,147,29,28,212,259,Georgia St.,291.0,4
182,4,3,3,8,2,3,9,14,95,57,70,134,22,22,187,213,Morgan St.,292.0,4
52,7,6,4,5,1,2,12,13,137,61,95,131,38,24,270,216,Coastal Carolina,293.0,4
305,7,2,8,10,3,0,18,12,128,91,87,205,28,32,243,328,Texas Southern,294.0,4
32,7,6,2,15,0,2,9,23,143,103,100,187,18,26,261,316,Bucknell,295.0,4
314,4,7,5,10,1,1,10,18,132,74,83,151,36,29,251,254,ULM,296.0,4
62,3,7,2,11,1,1,6,19,119,75,78,126,26,24,223,225,CSU Bakersfield,297.0,4
269,10,4,6,7,1,1,17,12,112,101,93,158,20,22,225,281,South Dakota,298.0,4
47,5,9,2,15,0,1,7,25,181,122,99,222,32,39,312,383,Chicago St.,299.0,4
24,3,8,7,9,0,0,10,17,114,79,74,150,12,10,200,239,Binghamton,300.0,4
86,3,6,1,16,0,0,4,22,133,103,100,165,15,18,248,286,FDU,301.0,4
157,7,5,5,9,2,1,14,15,116,98,79,165,26,27,221,290,Manhattan,302.0,4
44,1,11,1,13,1,1,3,25,148,97,83,192,23,32,254,321,Charleston So.,304.0,4
130,6,2,5,15,0,2,11,19,154,99,104,214,30,32,288,345,Jackson St.,305.0,4
281,8,4,7,7,3,0,18,11,135,71,90,124,20,19,245,214,Saint Peter's,306.0,4
167,6,7,7,9,0,0,13,16,154,101,98,206,19,13,271,320,Merrimack,307.0,4
38,3,7,2,12,1,2,6,21,138,89,92,155,27,30,257,274,Cal Poly,308.0,4
176,7,3,8,7,0,2,15,12,112,89,77,157,23,20,212,266,Kansas City,309.0,4
118,6,7,1,12,0,3,7,22,124,86,98,144,34,22,256,252,Idaho,310.0,4
340,11,1,9,5,0,0,20,6,106,83,78,156,8,15,192,254,Wagner,311.0,4
211,6,8,0,12,3,2,9,22,150,82,106,141,30,28,286,251,Northeastern,312.0,4
39,10,8,2,9,0,3,12,20,207,113,94,154,36,38,337,305,California,313.0,4
150,8,8,2,10,3,1,13,19,245,111,121,164,43,49,409,324,Louisville,315.0,4
349,3,10,1,14,0,3,4,27,151,92,115,163,36,37,302,292,William & Mary,316.0,4
195,4,9,0,16,0,0,4,25,153,83,99,147,32,31,284,261,Omaha,317.0,4
192,4,4,3,13,2,3,9,20,157,100,96,188,27,34,280,322,N.C. A&T;,318.0,4
5,7,3,4,14,1,1,12,18,120,93,100,222,25,27,245,342,Alabama A&M;,319.0,4
80,7,7,2,14,0,0,9,21,157,108,100,169,36,34,293,311,Eastern Mich.,320.0,4
152,9,3,3,12,1,1,13,16,130,103,97,188,13,21,240,312,Loyola Maryland,321.0,4
12,3,7,1,10,2,2,6,19,134,78,87,131,32,29,253,238,Little Rock,322.0,4
339,2,9,2,13,2,0,6,22,158,77,101,150,34,31,293,258,Western Mich.,323.0,4
304,8,8,1,10,2,2,11,20,180,106,76,159,36,44,292,309,Tulsa,324.0,4
18,4,5,6,11,0,1,10,17,122,77,79,149,27,30,228,256,Austin Peay,325.0,4
250,5,7,4,13,0,0,9,20,128,122,102,203,9,14,239,339,Sacred Heart,326.0,4
285,12,4,5,9,0,0,17,13,159,97,121,179,22,18,302,294,Stony Brook,327.0,4
59,3,6,4,16,2,1,9,23,164,83,99,175,39,37,302,295,Coppin St.,328.0,4
36,2,9,5,11,0,3,7,23,178,106,111,180,26,29,315,315,Central Mich.,329.0,4
42,6,4,3,14,0,2,9,20,176,92,110,178,30,28,316,298,Central Ark.,330.0,4
49,4,8,5,9,1,1,10,18,116,71,84,133,28,20,228,224,The Citadel,331.0,4
13,3,7,2,17,0,0,5,24,167,81,106,210,34,27,307,318,Ark.-Pine Bluff,332.0,4
64,3,10,3,11,0,1,6,22,141,72,97,138,31,29,269,239,CSUN,333.0,4
204,5,8,5,10,0,0,10,18,127,99,80,179,8,8,215,286,NJIT,334.0,4
83,5,7,3,11,0,4,8,22,188,85,109,133,32,41,329,259,Elon,335.0,4
276,3,8,5,13,0,0,8,21,134,89,90,200,10,17,234,306,Saint Francis (PA),336.0,4
114,3,9,4,11,0,2,7,22,139,102,84,192,12,14,235,308,Holy Cross,337.0,4
163,2,5,2,13,3,4,7,22,131,66,80,129,33,36,244,231,McNeese,339.0,4
